state,year,acres_harvested
IA,1988,8100000
IA,1989,8280000
IA,1990,7900000
IA,1991,8630000
IA,1992,8170000
IA,1993,8300000
IA,1994,8770000
IA,1995,9260000
IA,1996,9450000
IA,1997,10400000
IA,1998,10350000
IA,1999,10750000
IA,2000,10680000
IA,2001,10920000
IA,2002,10400000
IA,2003,10550000
IA,2004,10150000
IA,2005,10000000
IA,2006,10100000
IA,2007,8630000
IA,2008,9670000
IA,2009,9530000
IA,2010,9730000
IA,2011,9230000
IA,2012,56210000
IA,2013,37340000
IA,2014,59670000
IA,2015,59200000
IA,2016,57390000
IA,2017,59690000
IA,2018,59230000
IA,2019,54670000
IA,2020,55970000
IA,2021,59730000
IA,2022,60530000
IA,2023,58730000
IA,2024,59660000
IA,2025,37520000
IL,1988,8700000
IL,1989,8850000
IL,1990,9100000
IL,1991,9100000
IL,1992,9430000
IL,1993,9000000
IL,1994,9430000
IL,1995,9700000
IL,1996,9850000
IL,1997,9950000
IL,1998,10550000
IL,1999,10550000
IL,2000,10450000
IL,2001,10620000
IL,2002,10550000
IL,2003,10260000
IL,2004,9900000
IL,2005,9450000
IL,2006,10050000
IL,2007,8280000
IL,2008,9120000
IL,2009,9350000
IL,2010,9050000
IL,2011,8910000
IL,2012,51800000
IL,2013,37580000
IL,2014,59620000
IL,2015,59620000
IL,2016,59670000
IL,2017,62650000
IL,2018,64550000
IL,2019,59860000
IL,2020,61800000
IL,2021,63460000
IL,2022,65050000
IL,2023,61100000
IL,2024,64400000
IL,2025,41100000
IN,1988,4200000
IN,1989,4550000
IN,1990,4180000
IN,1991,4400000
IN,1992,4520000
IN,1993,4850000
IN,1994,4580000
IN,1995,4980000
IN,1996,5360000
IN,1997,5300000
IN,1998,5500000
IN,1999,5550000
IN,2000,5480000
IN,2001,5590000
IN,2002,5770000
IN,2003,5370000
IN,2004,5520000
IN,2005,5380000
IN,2006,5680000
IN,2007,4790000
IN,2008,5430000
IN,2009,5440000
IN,2010,5330000
IN,2011,5290000
IN,2012,30370000
IN,2013,20830000
IN,2014,32890000
IN,2015,33730000
IN,2016,34030000
IN,2017,35490000
IN,2018,36360000
IN,2019,32120000
IN,2020,34130000
IN,2021,34090000
IN,2022,34980000
IN,2023,32880000
IN,2024,34630000
IN,2025,21720000
MO,1988,8460000
MO,1989,8700000
MO,1990,8300000
MO,1991,8860000
MO,1992,8500000
MO,1993,7200000
MO,1994,9120000
MO,1995,9000000
MO,1996,8100000
MO,1997,9700000
MO,1998,10000000
MO,1999,10700000
MO,2000,10000000
MO,2001,9800000
MO,2002,10000000
MO,2003,9900000
MO,2004,9920000
MO,2005,9820000
MO,2006,10220000
MO,2007,9340000
MO,2008,10060000
MO,2009,5300000
MO,2010,5070000
MO,2011,5210000
MO,2012,31320000
MO,2013,22430000
MO,2014,33740000
MO,2015,29310000
MO,2016,33140000
MO,2017,35450000
MO,2018,34530000
MO,2019,30360000
MO,2020,34020000
MO,2021,34290000
MO,2022,35890000
MO,2023,33270000
MO,2024,34740000
MO,2025,22260000
OH,1988,3700000
OH,1989,3980000
OH,1990,3480000
OH,1991,3770000
OH,1992,3680000
OH,1993,4110000
OH,1994,3990000
OH,1995,4030000
OH,1996,4490000
OH,1997,4340000
OH,1998,4390000
OH,1999,4500000
OH,2000,4440000
OH,2001,4580000
OH,2002,4720000
OH,2003,4280000
OH,2004,4420000
OH,2005,4480000
OH,2006,4620000
OH,2007,4240000
OH,2008,4480000
OH,2009,4530000
OH,2010,4590000
OH,2011,4540000
OH,2012,27500000
OH,2013,17980000
OH,2014,29290000
OH,2015,29290000
OH,2016,28890000
OH,2017,30140000
OH,2018,29820000
OH,2019,25840000
OH,2020,29020000
OH,2021,29130000
OH,2022,30180000
OH,2023,28680000
OH,2024,30030000
OH,2025,19520000
