year,yield_bu_acre,yield_t_ha
1988,26.380000000000003,1.7740832100245856
1989,32.4,2.1789346476420226
1990,33.0,2.219285289265023
1991,32.7,2.199109968453523
1992,36.58,2.4600441176155923
1993,33.36,2.2434956742388237
1994,39.839999999999996,2.679282603767228
1995,35.92,2.415658411830292
1996,36.9,2.481564459814526
1997,39.14,2.632206855207061
1998,39.260000000000005,2.6402769835316615
1999,37.480000000000004,2.5205700800500934
2000,39.0,2.6227917054950276
2001,39.02,2.6241367268824614
2002,37.2,2.5017397806260266
2003,35.5,2.387412962694192
2004,40.88,2.7492237159137622
2005,41.14,2.7667089939503957
2006,42.019999999999996,2.8258899349974627
2007,41.46,2.7882293361493296
2008,39.8,2.6765925609923613
2009,42.739999999999995,2.874310704945063
2010,44.1,2.9657721592905313
2011,41.6,2.7976444858613627
2012,37.7,2.5353653153118603
2013,42.7,2.871620662170197
2014,46.82,3.1486950679814663
2015,47.5,3.1944257951542
2016,51.06,3.4338396021173363
2017,49.519999999999996,3.330272955284968
2018,52.04,3.4997456501015702
2019,47.519999999999996,3.1957708165416334
2020,51.760000000000005,3.4809153506775035
2021,51.0,3.429804537955036
2022,50.4,3.3894538963320358
2023,50.22,3.3773487038451355
2024,52.38000000000001,3.522611013687938
2025,53.53333333333333,3.6001739136965933
